순번,성별,생년,국적명,체류자격,학교명
512,남,1991,몽골,학사과정,한성대학교
513,여,1991,우크라이나,대학부설 어학원 연수,총신대학교
514,여,1991,몽골,학사과정,장로회신학대학교
515,여,1991,중국,대학부설 어학원 연수,한양대학교
516,남,1991,중국,학사과정,고려대학교
517,남,1991,중국,학사과정,국민대학교
518,남,1991,중국,대학부설 어학원 연수,홍익대학교
519,여,1991,중국,대학부설 어학원 연수,한양대학교
520,여,1991,말레이시아,학사과정,인하대학교
521,여,1991,중국,학사과정,한양대학교
522,여,1991,인도네시아,석사과정,안동대학교
523,여,1991,중국,학사과정,성균관대학교
524,여,1991,중국,대학부설 어학원 연수,안산대학교
525,여,1991,중국,학사과정,경북대학교
526,여,1991,캄보디아,학사과정,협성대학교
527,여,1991,중국,학사과정,경기대학교
528,남,1991,중국,석사과정,전북대학교
529,여,1991,타이완,교환학생,전북대학교
530,여,1991,중국,학사과정,고려대학교
531,여,1991,타이완,교환학생,이화여자대학교
532,남,1991,중국,학사과정,울산대학교
533,남,1991,중국,대학부설 어학원 연수,고려대학교
534,남,1991,중국,학사과정,경희대학교
535,여,1991,중국,학사과정,국민대학교
536,여,1991,몽골,석사과정,경북대학교
537,여,1991,중국,학사과정,경북대학교
538,여,1991,중국,학사과정,영남대학교
539,남,1990,중국,대학부설 어학원 연수,충북대학교
540,여,1991,베트남,교환학생,부산외국어대학교
541,여,1991,중국,대학부설 어학원 연수,국립부경대학교
542,여,1991,중국,학사과정,경기대학교
543,여,1991,중국,전문학사과정,영진전문대학
544,여,1991,인도,석사과정,충북대학교
545,여,1991,중국,학사과정,청주대학교
546,여,1991,중국,학사과정,한서대학교
547,여,1991,필리핀,석사과정,명지대학교
548,여,1991,중국,학사과정,평택대학교
549,여,1991,한국계중국인,학사과정,성균관대학교
550,여,1991,중국,학사과정,수원대학교
551,남,1991,중국,전문학사과정,영진전문대학
552,남,1991,중국,대학부설 어학원 연수,우석대학교
553,남,1991,중국,학사과정,영남대학교
554,남,1991,중국,학사과정,호남대학교
555,여,1991,중국,석사과정,국제법률경영대학원대학교
556,남,1991,프랑스,교환학생,한양대학교
557,남,1991,중국,학사과정,경희대학교
558,남,1991,중국,학사과정,세한대학교
559,남,1991,중국,대학부설 어학원 연수,인덕대학교
560,남,1991,몽골,학사과정,경희대학교
561,남,1991,중국,대학부설 어학원 연수,경남도립거창대학
562,남,1991,한국계중국인,석사과정,경희대학교
563,남,1991,중국,학사과정,경희대학교국제캠퍼스
564,여,1991,일본,학사과정,고려대학교
565,여,1991,중국,학사과정,숭실대학교
566,여,1991,중국,학사과정,(학)연세대학교
567,여,1991,중국,학사과정,국립대학법인 인천대학교
568,여,1991,중국,학사과정,호남대학교
569,여,1991,중국,학사과정,한국성서대학교
570,남,1950,일본,대학부설 어학원 연수,(학)연세대학교
571,여,1950,카자흐스탄,대학부설 어학원 연수,공주대학교
572,남,1990,중국,석사과정,한양대학교
573,여,1990,중국,학사과정,건국대학교
574,남,1990,한국계중국인,학사과정,한서대학교
